camera_code,name,department_code,vms_name,district,city,junction,address,lat,lon,heading_deg,camera_type,protocol,resolution,fps,anpr_enabled,installed_on,tags
CAM-SPR-08,SP Ring Road at km 41.6 ANPR 08,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at km 41.6,"SP Ring Road, km 41.6, Ahmedabad, Gujarat",23.033365,72.675988,201,anpr,rtsp,3840x2160,25,True,2023-09-02,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-09,SP Ring Road at Hanspura ANPR 09,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Hanspura,"SP Ring Road, Hanspura, Ahmedabad, Gujarat",23.078375,72.687992,350,anpr,rtsp,1920x1080,20,True,2024-12-28,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-10,SP Ring Road at km 52.0 ANPR 10,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at km 52.0,"SP Ring Road, km 52.0, Ahmedabad, Gujarat",23.113862,72.664262,101,anpr,rtsp,1920x1080,25,True,2025-10-31,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-11,SP Ring Road at km 57.2 ANPR 11,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at km 57.2,"SP Ring Road, km 57.2, Ahmedabad, Gujarat",23.154307,72.698092,281,anpr,rtsp,3840x2160,25,True,2025-08-21,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-12,SP Ring Road at km 62.4 ANPR 12,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at km 62.4,"SP Ring Road, km 62.4, Ahmedabad, Gujarat",23.114936,72.658369,44,anpr,rtsp,1920x1080,25,True,2023-12-11,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-13,SP Ring Road at Amiyapur ANPR 13,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Amiyapur,"SP Ring Road, Amiyapur, Ahmedabad, Gujarat",23.121756,72.608575,296,anpr,rtsp,1920x1080,30,True,2023-11-05,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-14,SP Ring Road at Tragad ANPR 14,PANCHAYAT,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Tragad,"SP Ring Road, Tragad, Ahmedabad, Gujarat",23.134162,72.559068,99,anpr,rtsp,1920x1080,30,True,2026-05-26,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-15,SP Ring Road at ઓગણજ ANPR 15,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at ઓગણજ,"SP Ring Road, ઓગણજ, Ahmedabad, Gujarat",23.123978,72.512125,231,anpr,rtsp,1920x1080,25,True,2026-02-09,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-16,SP Ring Road at Bhadaj ANPR 16,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Bhadaj,"SP Ring Road, Bhadaj, Ahmedabad, Gujarat",23.079011,72.490794,19,anpr,rtsp,2560x1440,20,True,2023-11-04,ahmedabad|corridor:SP-RING|ring|anpr
CAM-ASH-01,Ashram Road at Jivraj park ANPR 01,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ashram Road at Jivraj park,"Ashram Road, Jivraj park, Ahmedabad, Gujarat",22.996428,72.537843,72,anpr,rtsp,1920x1080,15,True,2023-10-28,ahmedabad|corridor:ASHRAM-ROAD|linear|anpr
CAM-ASH-02,Ashram Road at Paldi ANPR 02,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ashram Road at Paldi,"Ashram Road, Paldi, Ahmedabad, Gujarat",23.008573,72.561021,237,anpr,rtsp,2560x1440,20,True,2024-06-19,ahmedabad|corridor:ASHRAM-ROAD|linear|anpr
CAM-ASH-03,Ashram Road at Kochrab CCTV 03,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ashram Road at Kochrab,"Ashram Road, Kochrab, Ahmedabad, Gujarat",23.019878,72.569742,38,fixed,rtsp,2560x1440,25,True,2025-02-02,ahmedabad|corridor:ASHRAM-ROAD|linear|anpr
CAM-ASH-04,Ashram Road at Navrangpura CCTV 04,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ashram Road at Navrangpura,"Ashram Road, Navrangpura, Ahmedabad, Gujarat",23.034248,72.569374,161,fixed,rtsp,2560x1440,25,True,2025-01-14,ahmedabad|corridor:ASHRAM-ROAD|linear|anpr
CAM-ASH-05,Ashram Road at Usmanpura ANPR 05,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ashram Road at Usmanpura,"Ashram Road, Usmanpura, Ahmedabad, Gujarat",23.047594,72.570829,17,anpr,rtsp,1280x720,25,True,2026-01-04,ahmedabad|corridor:ASHRAM-ROAD|linear|anpr
CAM-ASH-06,Ashram Road at Dudheshwar ANPR 06,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ashram Road at Dudheshwar,"Ashram Road, Dudheshwar, Ahmedabad, Gujarat",23.057582,72.577232,233,anpr,rtsp,1920x1080,20,True,2025-08-12,ahmedabad|corridor:ASHRAM-ROAD|linear|anpr
CAM-CGR-01,CG Road at Paldi ANPR 01,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,CG Road at Paldi,"CG Road, Paldi, Ahmedabad, Gujarat",23.01047,72.564391,305,anpr,rtsp,1920x1080,25,True,2025-09-02,ahmedabad|corridor:CG-ROAD|linear|anpr
CAM-CGR-02,CG Road at Paldi ANPR 02,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,CG Road at Paldi,"CG Road, Paldi, Ahmedabad, Gujarat",23.018984,72.557607,158,anpr,rtsp,1920x1080,30,True,2025-01-07,ahmedabad|corridor:CG-ROAD|linear|anpr
CAM-CGR-03,CG Road at Navrangpura CCTV 03,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,CG Road at Navrangpura,"CG Road, Navrangpura, Ahmedabad, Gujarat",23.029356,72.558503,27,fixed,rtsp,1920x1080,25,True,2023-12-13,ahmedabad|corridor:CG-ROAD|linear|anpr
CAM-CGR-04,CG Road at Navrangpura ANPR 04,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,CG Road at Navrangpura,"CG Road, Navrangpura, Ahmedabad, Gujarat",23.039213,72.563294,249,anpr,rtsp,1920x1080,15,True,2024-07-29,ahmedabad|corridor:CG-ROAD|linear|anpr
CAM-R132-01,132 Ft Ring Road at Vastrapur ANPR 01,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,132 Ft Ring Road at Vastrapur,"132 Ft Ring Road, Vastrapur, Ahmedabad, Gujarat",23.041727,72.539655,213,anpr,rtsp,1920x1080,15,True,2024-05-10,ahmedabad|corridor:132FT-RING|ring|anpr
CAM-R132-02,132 Ft Ring Road at Jodhpur ANPR 02,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,132 Ft Ring Road at Jodhpur,"132 Ft Ring Road, Jodhpur, Ahmedabad, Gujarat",23.021041,72.530114,9,anpr,rtsp,3840x2160,30,True,2025-08-06,ahmedabad|corridor:132FT-RING|ring|anpr
CAM-R132-03,132 Ft Ring Road at Jivraj park ANPR 03,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,132 Ft Ring Road at Jivraj park,"132 Ft Ring Road, Jivraj park, Ahmedabad, Gujarat",23.00065,72.535752,157,anpr,rtsp,1920x1080,15,True,2025-10-29,ahmedabad|corridor:132FT-RING|ring|anpr
CAM-R132-04,132 Ft Ring Road at Ranip ANPR 04,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,132 Ft Ring Road at Ranip,"132 Ft Ring Road, Ranip, Ahmedabad, Gujarat",23.068334,72.581553,207,anpr,rtsp,1920x1080,15,True,2026-04-12,ahmedabad|corridor:132FT-RING|ring|anpr
CAM-R132-05,132 Ft Ring Road at Akhbar nagar ANPR 05,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,132 Ft Ring Road at Akhbar nagar,"132 Ft Ring Road, Akhbar nagar, Ahmedabad, Gujarat",23.065818,72.55823,246,anpr,rtsp,2560x1440,20,True,2023-10-04,ahmedabad|corridor:132FT-RING|ring|anpr
CAM-R132-06,132 Ft Ring Road at Naranpura ANPR 06,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,132 Ft Ring Road at Naranpura,"132 Ft Ring Road, Naranpura, Ahmedabad, Gujarat",23.049814,72.545637,25,anpr,rtsp,1920x1080,25,True,2024-03-22,ahmedabad|corridor:132FT-RING|ring|anpr
CAM-R120-01,120 Ft Ring Road at Panjrapole ANPR 01,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Panjrapole,"120 Ft Ring Road, Panjrapole, Ahmedabad, Gujarat",23.024864,72.543036,191,anpr,rtsp,1920x1080,25,True,2026-03-14,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-R120-02,120 Ft Ring Road at Vasna ANPR 02,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Vasna,"120 Ft Ring Road, Vasna, Ahmedabad, Gujarat",23.007145,72.550545,313,anpr,rtsp,2560x1440,30,True,2024-06-03,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-R120-03,120 Ft Ring Road at Ranna Park ANPR 03,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Ranna Park,"120 Ft Ring Road, Ranna Park, Ahmedabad, Gujarat",22.9951,72.567311,122,anpr,rtsp,3840x2160,30,True,2024-01-14,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-R120-04,120 Ft Ring Road at Behrampura ANPR 04,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Behrampura,"120 Ft Ring Road, Behrampura, Ahmedabad, Gujarat",23.001416,72.587449,164,anpr,rtsp,1920x1080,25,True,2025-08-03,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-R120-05,120 Ft Ring Road at Usmanpura ANPR 05,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Usmanpura,"120 Ft Ring Road, Usmanpura, Ahmedabad, Gujarat",23.046959,72.570474,339,anpr,rtsp,1920x1080,30,True,2025-09-08,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-R120-06,120 Ft Ring Road at Naranpura ANPR 06,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Naranpura,"120 Ft Ring Road, Naranpura, Ahmedabad, Gujarat",23.044072,72.550067,36,anpr,rtsp,2560x1440,20,True,2026-06-19,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-R120-07,120 Ft Ring Road at Panjrapole ANPR 07,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,120 Ft Ring Road at Panjrapole,"120 Ft Ring Road, Panjrapole, Ahmedabad, Gujarat",23.026401,72.544055,218,anpr,rtsp,1920x1080,30,True,2026-05-16,ahmedabad|corridor:120FT-RING|ring|anpr
CAM-SH2-01,Rakhial-Odhav Road at Sarangpur ANPR 01,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Rakhial-Odhav Road at Sarangpur,"Rakhial-Odhav Road, Sarangpur, Ahmedabad, Gujarat",23.022992,72.598929,134,anpr,rtsp,2560x1440,30,True,2025-03-10,ahmedabad|corridor:SH2-EAST|linear|anpr
CAM-SH2-02,Rakhial-Odhav Road at Sukhrampura ANPR 02,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Rakhial-Odhav Road at Sukhrampura,"Rakhial-Odhav Road, Sukhrampura, Ahmedabad, Gujarat",23.022091,72.613874,266,anpr,rtsp,1280x720,25,True,2024-11-28,ahmedabad|corridor:SH2-EAST|linear|anpr
CAM-SH2-03,Rakhial-Odhav Road at Rajpur Gomtipur ANPR 03,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Rakhial-Odhav Road at Rajpur Gomtipur,"Rakhial-Odhav Road, Rajpur Gomtipur, Ahmedabad, Gujarat",23.020089,72.629646,92,anpr,rtsp,2560x1440,25,True,2025-11-23,ahmedabad|corridor:SH2-EAST|linear|anpr
CAM-SH2-04,Rakhial-Odhav Road at Shastri Nagar ANPR 04,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Rakhial-Odhav Road at Shastri Nagar,"Rakhial-Odhav Road, Shastri Nagar, Ahmedabad, Gujarat",23.021403,72.644659,263,anpr,rtsp,1280x720,25,True,2026-03-15,ahmedabad|corridor:SH2-EAST|linear|anpr
CAM-SH2-05,Rakhial-Odhav Road at Shastri Nagar ANPR 05,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Rakhial-Odhav Road at Shastri Nagar,"Rakhial-Odhav Road, Shastri Nagar, Ahmedabad, Gujarat",23.023544,72.659275,83,anpr,rtsp,1920x1080,30,True,2026-01-02,ahmedabad|corridor:SH2-EAST|linear|anpr
CAM-NRD-01,Naroda Road at Dariyapur ANPR 01,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Naroda Road at Dariyapur,"Naroda Road, Dariyapur, Ahmedabad, Gujarat",23.031171,72.598784,40,anpr,rtsp,3840x2160,20,True,2025-11-22,ahmedabad|corridor:NARODA-ROAD|linear|anpr
CAM-NRD-02,Naroda Road at Asarwa CCTV 02,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Naroda Road at Asarwa,"Naroda Road, Asarwa, Ahmedabad, Gujarat",23.040094,72.610054,234,fixed,rtsp,1920x1080,25,True,2025-09-07,ahmedabad|corridor:NARODA-ROAD|linear|anpr
CAM-NRD-03,Naroda Road at Kalapi nagar ANPR 03,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Naroda Road at Kalapi nagar,"Naroda Road, Kalapi nagar, Ahmedabad, Gujarat",23.048593,72.622327,55,anpr,rtsp,1920x1080,25,True,2023-11-16,ahmedabad|corridor:NARODA-ROAD|linear|anpr
CAM-NRD-04,Naroda Road at Sahijpur boga ANPR 04,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Naroda Road at Sahijpur boga,"Naroda Road, Sahijpur boga, Ahmedabad, Gujarat",23.056737,72.634881,234,anpr,rtsp,2560x1440,25,True,2024-06-21,ahmedabad|corridor:NARODA-ROAD|linear|anpr
CAM-NSK-01,Narol-Sarkhej Road at Isanpur CCTV 01,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Narol-Sarkhej Road at Isanpur,"Narol-Sarkhej Road, Isanpur, Ahmedabad, Gujarat",22.97282,72.582955,276,fixed,rtsp,1920x1080,25,True,2025-11-16,ahmedabad|corridor:NAROL-SARKHEJ|linear|anpr
CAM-NSK-02,Narol-Sarkhej Road at Piplaj ANPR 02,PANCHAYAT,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Narol-Sarkhej Road at Piplaj,"Narol-Sarkhej Road, Piplaj, Ahmedabad, Gujarat",22.974593,72.566119,96,anpr,rtsp,2560x1440,30,True,2023-08-18,ahmedabad|corridor:NAROL-SARKHEJ|linear|anpr
CAM-NSK-03,Narol-Sarkhej Road at Piplaj ANPR 03,PANCHAYAT,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Narol-Sarkhej Road at Piplaj,"Narol-Sarkhej Road, Piplaj, Ahmedabad, Gujarat",22.97608,72.550892,280,anpr,rtsp,2560x1440,25,True,2025-09-04,ahmedabad|corridor:NAROL-SARKHEJ|linear|anpr
CAM-NSK-04,Narol-Sarkhej Road at Vasna ANPR 04,PANCHAYAT,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Narol-Sarkhej Road at Vasna,"Narol-Sarkhej Road, Vasna, Ahmedabad, Gujarat",22.986659,72.539927,145,anpr,rtsp,1920x1080,25,True,2026-05-23,ahmedabad|corridor:NAROL-SARKHEJ|linear|anpr
CAM-AVE-01,Ahmedabad-Vadodara Expressway at km 3.6 ANPR 01,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ahmedabad-Vadodara Expressway at km 3.6,"Ahmedabad-Vadodara Expressway, km 3.6, Ahmedabad, Gujarat",22.872042,72.8017,336,anpr,rtsp,1920x1080,15,True,2025-08-29,ahmedabad|corridor:AHM-VAD-EXPWY|linear|anpr
CAM-AVE-02,Ahmedabad-Vadodara Expressway at km 7.2 ANPR 02,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ahmedabad-Vadodara Expressway at km 7.2,"Ahmedabad-Vadodara Expressway, km 7.2, Ahmedabad, Gujarat",22.898311,72.77783,137,anpr,rtsp,1920x1080,20,True,2024-05-04,ahmedabad|corridor:AHM-VAD-EXPWY|linear|anpr
CAM-AVE-03,Ahmedabad-Vadodara Expressway at km 10.8 ANPR 03,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ahmedabad-Vadodara Expressway at km 10.8,"Ahmedabad-Vadodara Expressway, km 10.8, Ahmedabad, Gujarat",22.924131,72.745858,297,anpr,rtsp,1920x1080,15,True,2025-01-30,ahmedabad|corridor:AHM-VAD-EXPWY|linear|anpr
CAM-AVE-04,Ahmedabad-Vadodara Expressway at km 14.4 ANPR 04,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ahmedabad-Vadodara Expressway at km 14.4,"Ahmedabad-Vadodara Expressway, km 14.4, Ahmedabad, Gujarat",22.941997,72.711344,122,anpr,rtsp,1920x1080,25,True,2025-10-02,ahmedabad|corridor:AHM-VAD-EXPWY|linear|anpr
CAM-AVE-05,Ahmedabad-Vadodara Expressway at હાથીજણ CCTV 05,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ahmedabad-Vadodara Expressway at હાથીજણ,"Ahmedabad-Vadodara Expressway, હાથીજણ, Ahmedabad, Gujarat",22.960949,72.676756,300,fixed,rtsp,1920x1080,30,True,2023-10-18,ahmedabad|corridor:AHM-VAD-EXPWY|linear|anpr
CAM-AVE-06,Ahmedabad-Vadodara Expressway at Ramol -Jantanagar ANPR 06,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,Ahmedabad-Vadodara Expressway at Ramol -Jantanagar,"Ahmedabad-Vadodara Expressway, Ramol -Jantanagar, Ahmedabad, Gujarat",22.979742,72.643354,122,anpr,rtsp,1280x720,20,True,2025-12-01,ahmedabad|corridor:AHM-VAD-EXPWY|linear|anpr
